"path","area","artifact_type","preliminary_category","existing_class_mapping","local_evaluation_category","primary_consumer","ownership_status","proposed_action","notes"
".github/agents/architect.agent.md",".github","document","supporting","unmapped or implicit repository convention","","agents, developers or human reviewers","existing_repository_artifact","classify_in_WS_0_before_restructure",""
".github/agents/documentation.agent.md",".github","document","supporting","unmapped or implicit repository convention","","agents, developers or human reviewers","existing_repository_artifact","classify_in_WS_0_before_restructure",""
".github/agents/implementation.agent.md",".github","document","supporting","unmapped or implicit repository convention","","agents, developers or human reviewers","existing_repository_artifact","classify_in_WS_0_before_restructure",""
".github/agents/qa-gate.agent.md",".github","document","supporting","unmapped or implicit repository convention","","agents, developers or human reviewers","existing_repository_artifact","classify_in_WS_0_before_restructure",""
".github/agents/README.md",".github","repository_document","supporting","unmapped or implicit repository convention","","agents, developers or human reviewers","existing_repository_artifact","classify_in_WS_0_before_restructure",""
".github/agents/reviewer.agent.md",".github","document","supporting","unmapped or implicit repository convention","","agents, developers or human reviewers","existing_repository_artifact","classify_in_WS_0_before_restructure",""
".github/agents/specification.agent.md",".github","document","supporting","unmapped or implicit repository convention","","agents, developers or human reviewers","existing_repository_artifact","classify_in_WS_0_before_restructure",""
".github/agents/tasks-planner.agent.md",".github","document","supporting","unmapped or implicit repository convention","","agents, developers or human reviewers","existing_repository_artifact","classify_in_WS_0_before_restructure",""
".github/copilot-instructions.md",".github","document","supporting","unmapped or implicit repository convention","","agents, developers or human reviewers","existing_repository_artifact","classify_in_WS_0_before_restructure",""
".github/instructions/sdd.instructions.md",".github","methodological_instruction","normative_current","documentary precedence source","","agents, developers or human reviewers","existing_repository_artifact","classify_in_WS_0_before_restructure",""
".github/presentation_policies/analytical-review.md",".github","document","supporting","unmapped or implicit repository convention","","agents, developers or human reviewers","existing_repository_artifact","classify_in_WS_0_before_restructure",""
".github/presentation_policies/executive-decision-support.md",".github","document","supporting","unmapped or implicit repository convention","","agents, developers or human reviewers","existing_repository_artifact","classify_in_WS_0_before_restructure",""
".github/prompts/lead_quality_analytical_report.md",".github","document","supporting","unmapped or implicit repository convention","","agents, developers or human reviewers","existing_repository_artifact","classify_in_WS_0_before_restructure",""
".github/skills/git-sync-main/SKILL.md",".github","agent_skill","normative_current","unmapped or implicit repository convention","","agents, developers or human reviewers","existing_repository_artifact","classify_in_WS_0_before_restructure",""
".github/skills/meta-lead-quality-analysis/ANALYTICAL_PROFILE.md",".github","agent_skill","normative_current","unmapped or implicit repository convention","","Codex AUC-001 routing and analytical execution","existing_repository_artifact","classify_in_WS_0_before_restructure",""
".github/skills/meta-lead-quality-analysis/CHECKLIST.md",".github","agent_skill","normative_current","unmapped or implicit repository convention","","Codex AUC-001 routing and analytical execution","existing_repository_artifact","classify_in_WS_0_before_restructure",""
".github/skills/meta-lead-quality-analysis/knowledge-construction-profile.md",".github","agent_skill","normative_current","unmapped or implicit repository convention","","Codex AUC-001 routing and analytical execution","existing_repository_artifact","classify_in_WS_0_before_restructure",""
".github/skills/meta-lead-quality-analysis/references.md",".github","agent_skill","normative_current","unmapped or implicit repository convention","","Codex AUC-001 routing and analytical execution","existing_repository_artifact","classify_in_WS_0_before_restructure",""
".github/skills/meta-lead-quality-analysis/RUNBOOK.md",".github","agent_skill","normative_current","unmapped or implicit repository convention","","Codex AUC-001 routing and analytical execution","existing_repository_artifact","classify_in_WS_0_before_restructure",""
".github/skills/meta-lead-quality-analysis/SKILL.md",".github","agent_skill","normative_current","unmapped or implicit repository convention","","Codex AUC-001 routing and analytical execution","existing_repository_artifact","classify_in_WS_0_before_restructure",""
".gitignore",".gitignore","supporting_file","supporting","unmapped or implicit repository convention","","agents, developers or human reviewers","existing_repository_artifact","classify_in_WS_0_before_restructure",""
"AGENTS.md","AGENTS.md","repository_document","normative_current","unmapped or implicit repository convention","","agents, developers or human reviewers","existing_repository_artifact","classify_in_WS_0_before_restructure",""
"analytical_use_cases/auc-001/analytical-contract.md","analytical_use_cases","analytical_use_case_document","supporting","unmapped or implicit repository convention","","agents, developers or human reviewers","existing_repository_artifact","classify_in_WS_0_before_restructure",""
"analytical_use_cases/auc-001/faro-strategic-context-profile.json","analytical_use_cases","analytical_use_case_document","supporting","unmapped or implicit repository convention","","agents, developers or human reviewers","existing_repository_artifact","classify_in_WS_0_before_restructure",""
"analytical_use_cases/auc-001/README.md","analytical_use_cases","analytical_use_case_document","supporting","unmapped or implicit repository convention","","agents, developers or human reviewers","existing_repository_artifact","classify_in_WS_0_before_restructure",""
"analytical_use_cases/meta_lead_quality_analysis.md","analytical_use_cases","analytical_use_case_document","supporting","unmapped or implicit repository convention","","agents, developers or human reviewers","existing_repository_artifact","classify_in_WS_0_before_restructure",""
"analytical_use_cases/README.md","analytical_use_cases","analytical_use_case_document","supporting","unmapped or implicit repository convention","","agents, developers or human reviewers","existing_repository_artifact","classify_in_WS_0_before_restructure",""
"Borradores/meta_lead_quality_analysis_DEPRECATED.md","Borradores","document","archivable_candidate","unmapped or implicit repository convention","","agents, developers or human reviewers","needs_human_review","review_for_archive","Candidate for archive review; no deletion authorized."
